A,N,n,censored,weib_k,weib_k_lo,weib_k_hi,weib_lam,weib_lam_lo,weib_lam_hi,exp_aic,weib_aic,logn_aic,best_model,ln_mu,ln_sigma,exp_tau
0.5,4,200,0,0.8185504545511361,0.738530508750937,0.9089573125485166,34.85661719787246,28.81532057334132,41.34464147458996,1863.9790921287208,1852.078919350357,1900.41552097372,weibull,2.8278149745282817,1.639326185159614,38.664
0.5,8,200,0,1.2623625400068028,1.1464068932337848,1.4226066911503497,70.9085326310975,62.664903366191425,79.88318234617344,2077.470796582726,2064.0751148475647,2090.975024598055,weibull,3.7972173866860732,1.001282463257977,65.9355
0.5,16,200,0,1.4858404608137818,1.3367258824701485,1.6888327808003947,79.94316122546674,72.45974568499656,87.86163645516652,2113.773248266818,2072.6680071920714,2099.4725641443524,weibull,3.997785652059471,0.8369066241232297,72.1995
0.5,24,200,0,1.6084156842205837,1.4524212782113017,1.813452405411126,71.02589155776023,64.60159140173747,77.88997212179262,2063.9500247848528,2009.8080661432127,2045.6490995790791,weibull,3.890395206286921,0.8144754516625977,63.74400000000001
0.5,32,200,0,1.51756438997273,1.375541344520772,1.715876037494781,73.91887870722074,66.44188475753802,81.97918216768858,2081.3677006237876,2036.4300368236381,2060.937714962136,weibull,3.9257917116413767,0.8167796249257178,66.581
0.5,48,200,0,1.8514037375483539,1.6530907830549173,2.163520566163789,76.2566989687476,70.37340857882653,82.43137871353446,2088.6278278201703,1995.1560793151996,2029.262749501097,weibull,4.0290450258871,0.6805685784961776,67.80050000000001
0.5,64,200,0,2.1875250837173024,1.959560449749848,2.521655992195383,75.8896342979416,71.04136116265722,80.96757609351013,2086.4508390179603,1953.1221868080318,2010.806987792706,weibull,4.0545097842828,0.6335408184898303,67.4325
0.2,4,100,1,0.6405213309930163,0.49950922324496017,1.4437855659258345,16.38009959669433,11.840829138430834,23.584137191317424,890.2034069362511,798.0979195491881,742.4959560622309,lognorm,2.2103523754214045,1.146316214024998,32.65050505050505
0.2,8,100,4,0.5693688958687958,0.4730956963311648,0.7815765603971572,49.19971935515269,31.876642982270738,75.41793929232205,1094.6598780898767,978.9558735707199,906.5715580893549,lognorm,3.206152356022624,1.2155608675435612,108.95520833333335
0.2,16,100,0,2.1895149412121575,1.822271411053077,2.7328385681260174,30.843551896377583,28.281657751649718,33.618994764623125,864.5460800679649,800.6680354726125,835.7223320048923,weibull,3.1447001891775113,0.6669587611376621,27.459999999999994
0.2,24,100,0,2.6268782824240784,2.170267834562437,3.3043057897591863,33.14873202237644,30.526663589893676,35.74771769728369,879.8519488178224,788.4040654962769,832.0321670886868,weibull,3.263240818068061,0.5815731521802339,29.644000000000005
0.2,32,100,0,3.583130746606874,2.9267012020736365,4.572722776730503,30.795422412853437,29.222611167476902,32.507057139700564,867.4024966945557,728.5214488987375,783.5915033329371,weibull,3.2448440813831683,0.46495014326728584,27.855
0.2,48,100,0,5.310914394798804,4.505516364072576,6.606417045276855,32.041639156925264,30.803244596969176,33.27514207279289,880.4447813726094,653.1526743854171,700.151584692016,weibull,3.362999990704904,0.27221019664668966,29.732000000000006
0.2,64,100,0,4.747808752099824,3.8598161982138666,7.739084338737056,31.98263301324982,30.516469411734274,33.4564358756063,880.3842313763516,657.924881238392,675.1199099807084,weibull,3.368572297761493,0.23885211616111707,29.723000000000003
